wine_id,region,country,region_label,grape,price,vintage_quality,winemaking_score,region_prestige,region_terroir,scarcity,oak_months,residual_sugar,alcohol,true_quality,blind_rating_expert,blind_rating_novice,blind_rating,sighted_rating,overpriced,value_wine,placebo_effect
WIN000000,generic_new_world,,Outras (novo mundo),blend,8.59,7.36,1.88,3.0,5.0,4.81,3,5.0,12.7,79.6,79.0,91.8,85.4,79.3,0,1,-6.1
WIN000001,Mendoza,Argentina,Mendoza,malbec,49.25,3.76,4.76,5.0,6.0,8.67,18,2.1,14.6,78.8,74.7,84.1,79.4,84.0,1,0,4.6
WIN000002,Tuscany,Italy,Toscana,sangiovese,8.24,7.02,0.18,7.0,7.0,3.6,6,12.9,12.5,80.8,81.0,86.0,83.5,80.1,0,0,-3.4
WIN000003,Tuscany,Italy,Toscana,sangiovese,18.99,7.5,5.4,7.0,7.0,5.7,10,2.8,13.9,85.5,82.9,87.3,85.1,83.7,0,0,-1.4
WIN000004,Mendoza,Argentina,Mendoza,sangiovese,57.69,2.86,3.92,5.0,6.0,9.85,17,1.0,15.2,76.0,76.7,72.1,74.4,77.8,1,0,3.4
WIN000005,Burgundy,France,Borgonha,shiraz,35.04,6.6,6.99,9.0,8.0,6.94,2,3.6,12.1,89.3,89.2,89.3,89.2,89.2,0,0,0.0
WIN000006,Rioja,Spain,Rioja,pinot_noir,19.73,4.56,3.99,6.0,6.0,3.26,15,4.1,11.2,80.3,81.1,80.0,80.6,80.0,0,0,-0.6
WIN000007,Burgundy,France,Borgonha,cab_sauv,22.54,7.84,5.35,9.0,8.0,8.26,2,3.9,15.1,88.9,91.5,87.9,89.7,88.2,0,0,-1.5
WIN000008,Mendoza,Argentina,Mendoza,pinot_noir,8.85,4.78,3.29,5.0,6.0,1.81,21,4.5,15.0,80.4,82.7,75.5,79.1,74.4,0,0,-4.7
WIN000009,Rioja,Spain,Rioja,sangiovese,10.66,7.81,1.41,6.0,6.0,3.33,22,1.7,14.2,83.0,83.6,78.1,80.8,76.4,0,0,-4.4
WIN000010,Mendoza,Argentina,Mendoza,cab_sauv,23.46,9.68,4.09,5.0,6.0,4.61,19,3.9,14.1,86.8,89.2,86.6,87.9,88.2,0,0,0.3
WIN000011,Rioja,Spain,Rioja,cab_sauv,11.34,4.32,6.5,6.0,6.0,4.27,13,3.2,14.0,76.4,76.7,78.2,77.4,74.0,0,0,-3.4
WIN000012,Rioja,Spain,Rioja,tempranillo,31.56,7.44,3.79,6.0,6.0,6.47,11,0.8,15.1,81.3,77.3,75.4,76.4,78.1,0,0,1.7
WIN000013,Napa,United States,Napa Valley,shiraz,56.14,8.18,4.18,8.0,7.0,7.04,2,1.6,12.1,84.4,81.5,85.7,83.6,87.5,0,0,3.9
WIN000014,Barossa,Australia,Barossa Valley,merlot,65.4,5.71,7.42,6.0,6.0,8.69,5,3.2,13.3,85.1,85.0,83.2,84.1,89.4,0,0,5.3
WIN000015,Bordeaux,France,Bordeaux,blend,41.59,6.6,3.13,9.0,7.0,7.45,10,0.8,14.7,85.6,86.8,85.2,86.0,86.9,0,0,0.9
WIN000016,generic_new_world,,Outras (novo mundo),malbec,16.1,6.57,4.07,3.0,5.0,5.52,11,7.2,13.1,79.1,80.2,85.1,82.6,82.4,0,0,-0.2
WIN000017,Napa,United States,Napa Valley,cab_sauv,33.58,2.6,2.59,8.0,7.0,4.31,11,3.0,10.6,73.6,70.0,74.6,72.3,75.0,0,0,2.7
WIN000018,Mendoza,Argentina,Mendoza,malbec,7.98,7.44,6.28,5.0,6.0,6.68,7,2.3,12.8,89.1,87.5,86.8,87.2,82.2,0,1,-5.0
WIN000019,Barossa,Australia,Barossa Valley,merlot,6.32,2.5,5.87,6.0,6.0,0.0,1,1.5,13.5,80.4,79.0,79.4,79.2,73.4,0,0,-5.8
WIN000020,Burgundy,France,Borgonha,cab_sauv,40.56,5.1,5.62,9.0,8.0,10.0,31,1.9,13.9,87.3,86.6,85.6,86.1,87.8,0,0,1.7
WIN000021,Tuscany,Italy,Toscana,cab_sauv,22.21,6.04,3.52,7.0,7.0,5.67,7,3.1,14.1,81.2,82.8,78.2,80.5,79.7,0,0,-0.8
WIN000022,Napa,United States,Napa Valley,sangiovese,38.5,6.12,4.86,8.0,7.0,6.73,26,1.3,12.9,86.3,86.0,84.0,85.0,85.7,0,0,0.7
WIN000023,Burgundy,France,Borgonha,blend,55.5,6.33,3.76,9.0,8.0,7.09,4,1.3,13.8,80.6,79.7,82.2,81.0,86.6,1,0,5.6
WIN000024,Rioja,Spain,Rioja,shiraz,30.87,2.52,3.68,6.0,6.0,6.65,9,4.1,12.8,75.0,77.6,72.4,75.0,75.4,0,0,0.4
WIN000025,Rioja,Spain,Rioja,pinot_noir,22.85,5.18,8.23,6.0,6.0,5.25,10,0.9,12.9,84.8,83.8,86.1,84.9,84.6,0,0,-0.3
WIN000026,generic_new_world,,Outras (novo mundo),malbec,11.79,4.42,5.83,3.0,5.0,0.0,48,2.4,13.8,83.7,83.7,80.3,82.0,82.1,0,0,0.1
WIN000027,Burgundy,France,Borgonha,malbec,58.92,6.97,3.88,9.0,8.0,7.27,5,0.9,15.0,85.4,88.0,77.2,82.6,85.2,0,0,2.6
WIN000028,Mendoza,Argentina,Mendoza,sangiovese,16.36,6.54,5.16,5.0,6.0,4.26,9,2.0,14.0,82.2,81.0,83.8,82.4,83.5,0,0,1.1
